               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077029,            0.046432,            0.031687,               0.902,              0.1305,              0.1548,             0.06272,            0.055943,            0.058473,            0.022433,             0.07008,           0.0033244,           0.0033244
                   1,            0.061096,            0.040234,            0.021338,             0.47472,              0.3445,             0.27512,             0.13315,            0.050255,            0.055233,            0.018185,            0.040014,           0.0065918,           0.0065918
                   2,            0.056019,            0.038349,            0.017952,             0.60701,             0.35685,             0.36477,             0.16895,            0.045143,            0.053554,            0.014915,           0.0098824,           0.0097933,           0.0097933
                   3,            0.050427,            0.037659,            0.015242,             0.73566,             0.41111,             0.50947,             0.26405,            0.041151,            0.052014,            0.012081,            0.009703,            0.009703,            0.009703
                   4,            0.046363,            0.036822,            0.012687,             0.64787,             0.53434,             0.56353,             0.29803,            0.037743,            0.050594,            0.010308,            0.009703,            0.009703,            0.009703
                   5,            0.044197,            0.035308,            0.011336,             0.66464,             0.56407,             0.61904,             0.33152,            0.037612,            0.049868,           0.0093146,            0.009604,            0.009604,            0.009604
                   6,            0.042725,            0.035401,            0.010025,             0.72809,             0.63018,             0.67825,               0.364,            0.036204,            0.048949,           0.0081333,            0.009505,            0.009505,            0.009505
                   7,            0.041669,            0.034731,           0.0091561,             0.78943,             0.63945,             0.72141,             0.40104,            0.035309,            0.048059,           0.0073382,            0.009406,            0.009406,            0.009406
                   8,            0.040325,            0.033595,           0.0081977,             0.75156,             0.66052,             0.72179,             0.41706,            0.034432,            0.047269,           0.0074668,            0.009307,            0.009307,            0.009307
                   9,             0.03953,            0.033623,           0.0075634,             0.76466,             0.71763,             0.76058,             0.43877,            0.033327,            0.047035,           0.0063588,            0.009208,            0.009208,            0.009208
                  10,            0.038643,            0.033015,           0.0071875,             0.77922,              0.7095,             0.78096,             0.45255,            0.032929,            0.046626,           0.0060282,            0.009109,            0.009109,            0.009109
                  11,            0.038163,            0.033103,            0.006773,             0.83756,             0.73078,             0.80194,             0.46812,            0.032588,            0.045807,           0.0057191,             0.00901,             0.00901,             0.00901
                  12,            0.037466,            0.032285,           0.0064883,             0.82794,             0.73001,             0.80263,             0.47372,            0.032168,            0.045306,             0.00557,            0.008911,            0.008911,            0.008911
                  13,            0.036993,            0.032792,           0.0062312,             0.84048,             0.74213,             0.82325,             0.48811,            0.031693,            0.044979,           0.0051127,            0.008812,            0.008812,            0.008812
