               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099295,            0.055231,            0.040155,             0.03032,            0.039481,            0.021244,           0.0057888,            0.083194,            0.077873,            0.030326,             0.07008,           0.0033244,           0.0033244
                   1,            0.076837,            0.048499,            0.025596,              0.3236,            0.097083,              0.0704,            0.022399,            0.068979,            0.072059,            0.024104,            0.040014,           0.0065918,           0.0065918
                   2,            0.067739,            0.045427,            0.022114,             0.47924,              0.2113,             0.17375,            0.067158,            0.058385,            0.066227,            0.021142,           0.0098824,           0.0097933,           0.0097933
                   3,             0.05979,            0.043338,            0.019953,             0.50553,             0.28504,             0.25163,             0.11288,            0.050972,            0.062798,            0.018008,            0.009703,            0.009703,            0.009703
                   4,            0.053807,            0.041913,            0.018049,              0.6018,             0.32008,             0.29694,             0.13859,             0.04599,            0.058096,            0.016392,            0.009703,            0.009703,            0.009703
                   5,            0.050572,            0.039881,            0.016754,             0.57781,             0.36151,             0.35161,             0.17458,            0.043297,            0.056601,            0.015128,            0.009604,            0.009604,            0.009604
                   6,            0.048139,            0.038758,             0.01567,             0.67384,             0.36622,             0.40871,              0.2108,            0.041795,            0.055514,            0.014047,            0.009505,            0.009505,            0.009505
                   7,             0.04658,             0.03868,            0.014364,             0.67527,             0.40238,              0.4177,             0.21555,            0.040595,            0.054416,            0.012664,            0.009406,            0.009406,            0.009406
                   8,            0.044826,            0.037992,             0.01348,             0.75122,             0.41452,              0.4736,             0.24783,            0.039736,            0.052963,             0.01178,            0.009307,            0.009307,            0.009307
                   9,            0.043988,            0.036516,            0.012514,             0.75717,             0.43602,             0.49168,             0.25846,            0.038684,            0.053151,            0.011126,            0.009208,            0.009208,            0.009208
                  10,            0.042829,            0.036474,            0.011853,             0.69825,             0.48905,             0.54807,             0.29058,            0.037611,            0.051948,            0.010512,            0.009109,            0.009109,            0.009109
                  11,            0.041966,            0.036197,            0.011314,             0.66564,              0.5365,             0.58271,             0.32328,            0.036685,            0.050501,           0.0096426,             0.00901,             0.00901,             0.00901
                  12,            0.041238,            0.035874,            0.010514,             0.67936,             0.56021,             0.62698,             0.33552,            0.036014,             0.04989,           0.0091471,            0.008911,            0.008911,            0.008911
                  13,            0.040734,             0.03535,             0.01008,             0.71575,             0.61841,             0.67638,             0.37865,            0.035355,            0.049604,           0.0081725,            0.008812,            0.008812,            0.008812
                  14,            0.040202,            0.035102,           0.0094689,             0.71731,             0.61642,             0.68746,             0.37939,            0.034715,            0.049143,           0.0077142,            0.008713,            0.008713,            0.008713
                  15,            0.039701,            0.035118,           0.0090231,              0.7365,             0.63063,             0.69623,             0.38996,            0.035072,            0.048785,           0.0077013,            0.008614,            0.008614,            0.008614
                  16,             0.03902,            0.034718,           0.0085104,             0.71235,             0.65704,              0.7141,             0.40141,            0.034374,            0.048351,           0.0074447,            0.008515,            0.008515,            0.008515
                  17,            0.038548,            0.034217,           0.0081374,             0.74713,             0.66996,             0.72681,             0.41281,            0.034083,            0.048153,           0.0070716,            0.008416,            0.008416,            0.008416
                  18,             0.03808,             0.03379,           0.0077262,             0.73986,             0.66718,             0.73837,             0.42717,            0.033495,            0.047293,           0.0065307,            0.008317,            0.008317,            0.008317
                  19,            0.037911,            0.033555,            0.007456,             0.83857,             0.67643,             0.76865,             0.44386,            0.033507,            0.047221,           0.0062478,            0.008218,            0.008218,            0.008218
                  20,            0.037686,            0.033602,           0.0072358,             0.82988,             0.66938,             0.77021,             0.44557,            0.032976,            0.047008,           0.0060363,            0.008119,            0.008119,            0.008119
                  21,            0.037278,            0.033069,           0.0069763,             0.80051,             0.69776,             0.78152,             0.45064,            0.032947,            0.046842,           0.0062065,             0.00802,             0.00802,             0.00802
                  22,            0.036784,              0.0328,           0.0067831,             0.82101,             0.69549,             0.78313,             0.46949,            0.032261,            0.045802,           0.0055766,            0.007921,            0.007921,            0.007921
                  23,            0.036385,            0.032484,           0.0065188,             0.78474,                0.73,             0.78895,             0.47976,            0.031911,            0.045399,           0.0055142,            0.007822,            0.007822,            0.007822
                  24,             0.03622,            0.031873,           0.0063847,             0.82836,             0.70351,             0.79176,             0.46578,            0.032642,            0.046406,            0.005478,            0.007723,            0.007723,            0.007723
                  25,             0.03588,            0.032127,           0.0063262,             0.82477,             0.72832,             0.81868,             0.48651,            0.031626,            0.045156,           0.0053208,            0.007624,            0.007624,            0.007624
                  26,             0.03589,            0.031954,           0.0062232,             0.84559,             0.71005,             0.79862,             0.48665,            0.031646,            0.045231,           0.0055642,            0.007525,            0.007525,            0.007525
                  27,             0.03559,            0.031852,           0.0058544,             0.82899,             0.72796,             0.80743,             0.49342,            0.031517,            0.044986,           0.0051357,            0.007426,            0.007426,            0.007426
                  28,            0.035168,            0.031745,           0.0056726,              0.8464,             0.74891,             0.82187,             0.50128,            0.031353,            0.045094,           0.0050214,            0.007327,            0.007327,            0.007327
                  29,            0.034806,            0.031079,           0.0057199,             0.86295,              0.7586,             0.84536,             0.51447,            0.031015,            0.044227,           0.0047969,            0.007228,            0.007228,            0.007228
                  30,            0.034669,            0.031352,             0.00551,              0.8381,             0.72983,             0.82324,             0.51081,            0.030692,            0.044091,           0.0046989,            0.007129,            0.007129,            0.007129
                  31,            0.034334,             0.03098,           0.0053295,             0.85707,             0.72569,             0.82932,             0.51318,            0.030793,             0.04397,           0.0047392,             0.00703,             0.00703,             0.00703
