               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10374,            0.059992,            0.045413,            0.013305,             0.03662,           0.0084796,            0.002251,            0.090895,            0.088025,             0.03397,             0.07008,           0.0033244,           0.0033244
                   1,            0.079804,            0.049078,            0.026878,            0.037807,            0.078663,            0.032342,            0.010147,            0.078971,            0.076848,            0.031075,            0.040014,           0.0065918,           0.0065918
                   2,            0.070286,            0.046579,             0.02325,             0.21885,             0.12481,             0.11174,            0.036938,            0.062172,            0.068958,            0.022344,           0.0098824,           0.0097933,           0.0097933
                   3,            0.061888,            0.044601,            0.021234,             0.44772,             0.27833,             0.22375,            0.094615,            0.051931,            0.063455,            0.018745,            0.009703,            0.009703,            0.009703
                   4,            0.056322,            0.043122,            0.018954,             0.40935,             0.30636,             0.27876,             0.12443,            0.049414,            0.061189,            0.016678,            0.009703,            0.009703,            0.009703
                   5,            0.053026,            0.041084,            0.017545,               0.389,             0.34962,              0.3035,             0.15103,             0.04503,            0.058392,            0.015866,            0.009604,            0.009604,            0.009604
                   6,            0.050257,            0.039972,            0.016524,             0.64067,             0.33877,             0.35045,             0.16986,            0.044423,             0.05745,            0.015194,            0.009505,            0.009505,            0.009505
                   7,            0.048707,            0.039755,            0.015365,              0.6346,             0.37623,             0.38889,             0.19369,            0.043915,             0.05631,            0.013349,            0.009406,            0.009406,            0.009406
                   8,            0.047259,            0.039146,            0.014617,             0.67225,             0.38234,             0.41599,             0.21586,            0.041204,            0.054987,            0.012598,            0.009307,            0.009307,            0.009307
                   9,            0.046096,            0.037636,            0.013478,             0.70704,             0.41334,             0.46221,             0.24503,            0.039929,            0.053921,            0.011582,            0.009208,            0.009208,            0.009208
                  10,            0.045017,            0.037606,            0.012867,             0.72413,             0.41436,              0.4773,             0.24839,            0.039522,            0.053399,             0.01127,            0.009109,            0.009109,            0.009109
                  11,            0.044158,            0.037235,            0.012493,             0.76557,             0.41542,             0.50767,             0.26828,            0.038657,            0.053382,            0.010703,             0.00901,             0.00901,             0.00901
                  12,             0.04362,            0.036993,            0.011689,             0.63894,             0.47824,             0.52585,             0.27337,            0.038447,            0.052627,            0.010143,            0.008911,            0.008911,            0.008911
                  13,            0.042834,            0.036433,            0.011365,             0.74182,             0.49853,             0.57551,             0.30507,            0.037132,            0.050987,             0.00945,            0.008812,            0.008812,            0.008812
                  14,            0.042483,            0.036181,            0.010766,             0.64531,               0.576,             0.61168,             0.32272,            0.036883,            0.050906,           0.0090165,            0.008713,            0.008713,            0.008713
                  15,            0.041985,            0.036183,            0.010339,             0.60451,             0.59302,             0.61127,             0.33092,            0.036806,            0.050371,           0.0088169,            0.008614,            0.008614,            0.008614
                  16,            0.041359,            0.035703,            0.009717,             0.62125,             0.60193,             0.63634,             0.34533,            0.036321,            0.050489,           0.0083519,            0.008515,            0.008515,            0.008515
                  17,            0.040858,            0.035253,           0.0094585,             0.63964,             0.64839,             0.66537,             0.36151,            0.035786,            0.049866,           0.0078337,            0.008416,            0.008416,            0.008416
                  18,            0.040727,            0.034898,           0.0090253,             0.70182,             0.62268,              0.6772,             0.38098,            0.035547,            0.049669,           0.0077652,            0.008317,            0.008317,            0.008317
                  19,            0.040028,            0.034516,           0.0085692,             0.68895,              0.6464,             0.68553,             0.38369,            0.035256,             0.04877,           0.0072331,            0.008218,            0.008218,            0.008218
                  20,            0.039511,            0.034566,           0.0081171,             0.76563,              0.6633,             0.74224,             0.41372,            0.034789,            0.048113,           0.0065905,            0.008119,            0.008119,            0.008119
                  21,            0.039295,            0.034115,           0.0081211,             0.76576,             0.65004,             0.71576,              0.3958,            0.034805,            0.048353,           0.0067557,             0.00802,             0.00802,             0.00802
                  22,            0.039036,             0.03397,           0.0077884,              0.7868,             0.66553,             0.74836,             0.42523,            0.034176,            0.047538,           0.0063409,            0.007921,            0.007921,            0.007921
                  23,            0.038672,            0.033664,           0.0074986,             0.76914,             0.70102,             0.76194,             0.43585,            0.033758,            0.047163,           0.0060222,            0.007822,            0.007822,            0.007822
                  24,            0.038288,            0.032956,           0.0072384,             0.77101,             0.71192,             0.75869,             0.42467,            0.033895,            0.047176,           0.0058859,            0.007723,            0.007723,            0.007723
                  25,            0.038244,            0.033294,           0.0070941,             0.79871,              0.6718,             0.76011,             0.43638,            0.033561,            0.047347,           0.0059958,            0.007624,            0.007624,            0.007624
                  26,            0.037916,            0.033033,           0.0070012,              0.8243,             0.68903,             0.77591,             0.44931,            0.033369,            0.046972,           0.0058493,            0.007525,            0.007525,            0.007525
                  27,            0.037725,            0.032947,           0.0066656,             0.77743,             0.73789,             0.79607,             0.46034,            0.032839,            0.046146,           0.0054585,            0.007426,            0.007426,            0.007426
                  28,            0.037325,            0.032921,           0.0064718,             0.81729,              0.7086,             0.79172,             0.45696,            0.032832,            0.046148,           0.0052028,            0.007327,            0.007327,            0.007327
                  29,             0.03696,            0.032179,           0.0064007,             0.83452,             0.71282,             0.80121,             0.47015,            0.032549,            0.045752,           0.0052555,            0.007228,            0.007228,            0.007228
                  30,            0.036839,            0.032554,            0.006263,             0.82503,              0.7211,              0.8016,             0.46693,            0.032555,            0.045486,           0.0050578,            0.007129,            0.007129,            0.007129
                  31,            0.036319,            0.032124,            0.006027,             0.81141,             0.72716,             0.80019,             0.47993,             0.03216,            0.045226,           0.0049983,             0.00703,             0.00703,             0.00703
                  32,            0.036546,            0.032107,           0.0059709,             0.78874,             0.75249,             0.80515,             0.47562,            0.031982,            0.044985,           0.0047855,            0.006931,            0.006931,            0.006931
                  33,            0.036464,            0.032097,           0.0057677,             0.79897,             0.74494,              0.8047,             0.48412,            0.031868,            0.045045,           0.0048144,            0.006832,            0.006832,            0.006832
                  34,             0.03561,            0.031844,           0.0057303,             0.82281,             0.75075,             0.81979,             0.49404,             0.03158,            0.044359,           0.0045264,            0.006733,            0.006733,            0.006733
                  35,            0.035903,            0.031752,           0.0056264,             0.81765,             0.73286,             0.81499,             0.49497,            0.031475,            0.044575,           0.0045458,            0.006634,            0.006634,            0.006634
