               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091293,              0.0482,              0.0328,              0.8465,             0.11163,            0.090203,            0.028456,            0.067416,            0.066492,            0.022709,             0.07008,           0.0033244,           0.0033244
                   1,            0.070138,            0.043337,            0.021972,             0.34467,             0.26383,             0.20743,            0.072487,            0.058404,             0.06396,             0.01934,            0.040014,           0.0065918,           0.0065918
                   2,            0.063149,             0.04135,            0.018957,             0.58182,             0.30264,             0.33982,             0.13946,            0.052033,            0.058368,            0.016388,           0.0098824,           0.0097933,           0.0097933
                   3,            0.056074,            0.039774,            0.016311,             0.47308,             0.45384,             0.42816,             0.19532,            0.046497,            0.055965,            0.013725,            0.009703,            0.009703,            0.009703
                   4,            0.051638,            0.038822,            0.014249,             0.55757,             0.46894,             0.47502,             0.21589,            0.043422,            0.054183,            0.012065,            0.009703,            0.009703,            0.009703
                   5,            0.048671,            0.037155,            0.012745,             0.57143,             0.50974,             0.52139,             0.26392,            0.039999,            0.052615,            0.010677,            0.009604,            0.009604,            0.009604
                   6,             0.04646,            0.036195,            0.011559,             0.63146,              0.5557,             0.58591,              0.3045,            0.039722,            0.051952,           0.0098545,            0.009505,            0.009505,            0.009505
                   7,            0.045234,            0.036243,            0.010545,              0.7062,             0.53554,             0.60553,             0.31977,            0.039498,            0.051248,           0.0090524,            0.009406,            0.009406,            0.009406
                   8,            0.044251,             0.03578,           0.0098045,             0.75704,             0.59048,              0.6803,             0.35856,            0.037911,            0.050171,           0.0081143,            0.009307,            0.009307,            0.009307
                   9,            0.042814,            0.034358,           0.0088312,             0.75657,             0.60284,             0.69642,              0.3732,            0.037304,            0.049162,            0.007815,            0.009208,            0.009208,            0.009208
                  10,            0.041999,            0.034281,           0.0082341,             0.79495,             0.63208,             0.73016,             0.38918,            0.036371,            0.048406,           0.0068989,            0.009109,            0.009109,            0.009109
                  11,            0.041405,            0.034137,           0.0078311,             0.79668,             0.67577,             0.75335,             0.41968,            0.035285,            0.047506,           0.0065018,             0.00901,             0.00901,             0.00901
                  12,            0.040438,            0.033848,           0.0072926,             0.78076,             0.68695,             0.75977,             0.42416,             0.03524,            0.047169,            0.006188,            0.008911,            0.008911,            0.008911
                  13,            0.040181,            0.033391,           0.0069859,             0.78597,             0.69625,             0.76696,             0.43058,            0.034682,            0.046821,           0.0058483,            0.008812,            0.008812,            0.008812
                  14,            0.039439,            0.033149,           0.0066382,             0.84623,             0.70224,             0.78962,             0.45234,            0.033877,            0.046363,           0.0055097,            0.008713,            0.008713,            0.008713
                  15,            0.039021,            0.033094,           0.0063444,             0.83342,             0.71482,             0.79854,             0.46182,            0.033307,            0.045881,           0.0054733,            0.008614,            0.008614,            0.008614
                  16,            0.038437,            0.032665,           0.0060123,             0.81925,             0.72487,              0.8007,             0.46523,            0.033475,            0.045557,           0.0051863,            0.008515,            0.008515,            0.008515
                  17,            0.038017,            0.032221,           0.0058134,             0.82137,             0.74654,              0.8131,             0.48682,            0.032617,            0.045265,           0.0049431,            0.008416,            0.008416,            0.008416
